id	szett11	szett12	szett21	szett22	par1	par2
1	3	11	11	5	10	20
2	11	6	2	11	8	9
3	6	11	11	6	21	11
4	4	11	11	1	5	15
5	8	11	11	9	2	4
6	11	1	1	11	13	3
7	11	7	1	11	19	1
8	6	11	11	7	16	18
9	6	11	11	9	6	22
10	11	8	9	11	12	17
11	7	11	11	5	14	7
12	7	11	11	3	29	38
13	11	3	6	11	25	35
14	11	8	4	11	23	39
15	5	11	11	3	30	43
16	11	7	7	11	44	28
17	11	2	11	0	27	41
18	11	1	6	11	37	36
19	10	11	11	3	34	31
20	3	11	11	2	24	40
21	11	6	9	11	32	42
22	11	2	3	11	26	33
23	5	11	11	2	57	50
24	11	4	2	11	66	51
25	11	3	9	11	56	49
26	7	11	11	4	48	59
27	11	4	9	11	65	52
28	10	11	11	2	54	47
29	1	11	11	6	55	62
30	11	7	2	11	45	46
31	11	6	10	11	64	61
32	4	11	11	5	53	58
33	8	11	11	6	60	63
34	11	6	1	11	67	83
35	11	6	5	11	85	74
36	11	6	1	11	84	78
37	1	11	11	7	88	79
38	6	11	11	2	75	80
39	11	5	9	11	68	71
40	8	11	11	2	69	76
41	2	11	11	4	73	72
42	2	11	11	9	77	82
43	11	0	9	11	87	70
44	2	11	11	8	86	81
45	11	7	2	11	94	109
46	11	1	11	3	106	105
47	6	11	11	3	108	92
48	8	11	11	6	93	99
49	11	3	11	7	102	97
50	4	11	11	1	104	100
51	11	4	8	11	98	89
52	2	11	11	4	103	107
53	6	11	11	8	90	96
54	2	11	11	6	110	95
55	2	11	11	9	101	91
56	7	11	11	8	115	125
57	3	11	11	1	128	121
58	9	11	11	0	129	127
59	9	11	11	7	113	117
60	11	3	5	11	132	112
61	3	11	11	8	124	131
62	11	9	3	11	122	126
63	11	0	9	11	130	111
64	5	11	11	3	123	116
65	6	11	11	8	114	120
66	11	2	7	11	119	118
67	11	9	3	11	148	141
68	11	2	8	11	152	133
69	11	0	11	8	147	150
70	11	7	9	11	135	142
71	2	11	11	4	143	154
72	11	9	10	11	151	153
73	11	2	10	11	137	144
74	3	11	11	7	145	149
75	11	2	3	11	139	140
76	9	11	11	6	146	136
77	11	0	6	11	134	138
