id	j1id	j2id
1	12	41
2	22	30
3	32	21
4	27	2
5	18	35
6	15	29
7	25	40
8	44	8
9	38	9
10	43	24
11	42	3
12	34	7
13	37	1
14	11	5
15	10	23
16	6	36
17	17	31
18	16	26
19	19	14
20	20	33
21	13	4
22	28	39
23	16	24
24	39	31
25	32	26
26	34	3
27	28	18
28	37	25
29	6	4
30	21	19
31	5	23
32	15	41
33	38	12
34	33	10
35	11	9
36	17	36
37	44	30
38	42	20
39	7	29
40	27	22
41	14	8
42	13	40
43	1	2
44	35	43
45	15	25
46	10	32
47	1	27
48	35	5
49	24	42
50	21	29
51	39	6
52	28	43
53	22	2
54	8	4
55	19	38
56	9	12
57	34	41
58	36	18
59	44	20
60	33	16
61	23	31
62	17	3
63	7	40
64	37	14
65	13	26
66	30	11
67	16	5
68	18	7
69	23	21
70	33	31
71	35	8
72	24	12
73	42	20
74	28	3
75	22	37
76	4	39
77	34	26
78	43	2
79	10	32
80	30	40
81	29	44
82	9	13
83	6	38
84	36	15
85	25	27
86	11	19
87	1	14
88	41	17
89	12	1
90	25	27
91	15	35
92	19	13
93	29	23
94	17	4
95	21	41
96	33	44
97	32	2
98	28	42
99	26	11
100	8	24
101	36	31
102	38	9
103	5	37
104	6	22
105	7	30
106	40	3
107	34	43
108	20	14
109	16	18
110	10	39
111	22	30
112	43	38
113	20	36
114	14	1
115	4	40
116	12	3
117	10	2
118	8	26
119	6	32
120	41	44
121	24	31
122	16	28
123	21	37
124	39	17
125	25	34
126	18	29
127	5	35
128	42	33
129	7	19
130	15	27
131	11	13
132	23	9
133	23	29
134	35	43
135	41	22
136	34	16
137	36	13
138	33	42
139	25	19
140	26	5
141	27	38
142	7	9
143	1	21
144	11	32
145	3	31
146	10	40
147	39	24
148	14	44
149	17	30
150	20	18
151	2	37
152	12	28
153	6	4
154	15	8
